voiceActor,movie,character
Christopher Lloyd,DuckTales,Merlock the Magician
Barbara Luddy,Sleeping Beauty,Merryweather
Tommy Luske,Peter Pan,Michael Darling
Walt Disney,Steamboat Willie,Mickey Mouse
Rod Roddy,House of Mouse,Mike the Microphone
Angela Bassett,Meet the Robinsons,Mildred
Michael J. Fox,Atlantis: The Lost Empire,Milo Thatch
Kari Wahlgren,Bolt,Mindy
Walt Disney,Plane Crazy,Minnie Mouse
Bebe Neuwirth,Aladdin (TV series),Mirage
Karla DeVito,Bonkers,Miranda Wright
Eva Gabor,The Rescuers,Miss Bianca
Melissa Manchester,The Great Mouse Detective,Miss Kitty
Megan Mullally,Sofia the First,Miss Nettle
Susie Essman,Bolt,Mittens
Auli'i Cravalho,Moana,Moana Waialiki
Colin Campbell,The Adventures of Ichabod and Mr. Toad,Moley
Tony Jay,Beauty and the Beast,Monsieur D'Arque
Thurl Ravenscroft,Pinocchio,Monstro
Jim Cummings,Chip 'n Dale Rescue Rangers,Monterey Jack
Bill Fagerbakke,Lady and the Tramp II: Scamp's Adventure,Mooch
Mark Dindal,Chicken Little,Morcupine Porcupine
Pat Carroll,The Little Mermaid II: Return to the Sea,Morgana
Kath Soucie,Darkwing Duck,Morgana McCawber
Dane A. Davis,Treasure Planet,Morph
